feature,correlation_with_target,abs_correlation_with_target,variance,std
distance_km,0.809142589630257,0.809142589630257,2.6315230684138773,1.6221969881657028
hour_6,-0.030810643201539933,0.030810643201539933,0.019204486351045012,0.1385802523848366
month_1,-0.026487172244778586,0.026487172244778586,0.08159968952343685,0.28565659369851215
dow_0,-0.02474320941157105,0.02474320941157105,0.10933983314933551,0.33066574232801244
hour_0,0.020256079672789147,0.020256079672789147,0.03712140287252816,0.19266915392072537
hour_7,-0.019261350567988004,0.019261350567988004,0.03483879204395243,0.18665152569414598
hour_1,0.016785147211154733,0.016785147211154733,0.02793403429732865,0.16713477883830358
hour_16,-0.016095164231546305,0.016095164231546305,0.039125054790704016,0.19780054294845606
passenger_count,0.015158183449207406,0.015158183449207406,1.7041399500281635,1.3054271140236684
month_10,0.014661026220411136,0.014661026220411136,0.07413030330123896,0.27226880706617673
hour_23,0.01414610945135462,0.01414610945135462,0.04603749860741271,0.21456350716608988
hour_22,0.013920067288220215,0.013920067288220215,0.05219163427949744,0.22845488456038193
month_9,0.01348024112651312,0.01348024112651312,0.06967734601229623,0.2639646681135493
hour_4,0.013443169007973996,0.013443169007973996,0.01026759571482096,0.10132914543615258
month_8,-0.012778673850326928,0.012778673850326928,0.06573167246529937,0.25638188794316064
hour_3,0.012727140971587525,0.012727140971587525,0.01553865753490176,0.12465415169540787
dow_4,0.011945251860899906,0.011945251860899906,0.13098822781980612,0.36192295840386546
dow_3,0.011178439157135714,0.011178439157135714,0.12754359675912172,0.3571324638829712
month_12,0.010337323536219065,0.010337323536219065,0.07161732533284891,0.267614135151432
month_11,0.009943499178742363,0.009943499178742363,0.07061003853477711,0.2657254947022907
month_3,-0.00991246313025813,0.00991246313025813,0.08542156712999285,0.2922696821943611
month_2,-0.009549815916086578,0.009549815916086578,0.07723698463963476,0.27791542713500944
hour_5,-0.008935072681702516,0.008935072681702516,0.007974615644970599,0.08930070349650443
dow_5,0.008054429299960994,0.008054429299960994,0.1296320865665922,0.3600445619178162
month_5,0.008019813986105266,0.008019813986105266,0.08494507408891028,0.29145338235970136
dow_1,-0.007756699731321934,0.007756699731321934,0.12162802719502946,0.3487520999148671
month_6,0.0068212964604385355,0.0068212964604385355,0.08064439994451858,0.2839795766327547
hour_2,0.006554809454475068,0.006554809454475068,0.02107836693614569,0.14518390729053166
hour_13,-0.005174951794374148,0.005174951794374148,0.04772198709182811,0.2184536268681024
hour_10,-0.005125684435345873,0.005125684435345873,0.043445883947371006,0.20843676246615184
month_7,-0.005023022013517311,0.005023022013517311,0.06989502937703522,0.26437668084956967
hour_20,-0.004811814728841396,0.004811814728841396,0.05622028246738657,0.23710816617608632
dow_6,-0.00472041301410432,0.00472041301410432,0.1130839899444173,0.3362796305820757
hour_8,-0.003774354518808284,0.003774354518808284,0.044159950476326044,0.2101426907516082
dow_2,0.0035730323161082106,0.0035730323161082106,0.12413473605547198,0.35232759763531435
dropoff_latitude,-0.0033235906771162953,0.0033235906771162953,6.345741384204151,2.5190755018863866
hour_15,-0.003059480973039722,0.003059480973039722,0.04537824251119093,0.21302169493080025
hour_11,-0.003033591235019219,0.003033591235019219,0.0453009163066295,0.21284011911909254
pickup_latitude,-0.002967673604913536,0.002967673604913536,6.345644240321663,2.519056220158983
dropoff_longitude,0.0028700230860059447,0.0028700230860059447,6.6589674863314,2.580497526898912
pickup_longitude,0.0022632123091270075,0.0022632123091270075,6.658955467121,2.580495198042616
hour_12,0.0021322927100207007,0.0021322927100207007,0.04783984464620598,0.21872321469429343
hour_19,-0.0021017618964891197,0.0021017618964891197,0.06085229384409214,0.24668257709877311
hour_18,0.0017644963459295465,0.0017644963459295465,0.05776218515202343,0.2403376482202142
month_4,0.001680995459862456,0.001680995459862456,0.08440297943398332,0.2905219086987818
hour_21,0.001427828994368822,0.001427828994368822,0.054470722017562846,0.23338963562584103
hour_17,-0.0010801967269384615,0.0010801967269384615,0.04638215385549468,0.2153651639785197
hour_14,-0.000292057756834859,0.000292057756834859,0.046068375137551756,0.2146354470667689
hour_9,0.0002023394235727372,0.0002023394235727372,0.04539370599916035,0.2130579874099076
